date	Daily	2017 Average
20170101	10365	10365
20170102	10243	10304
20170103	1501	7370
20170104	15032	9285
20170105	12649	9958
20170106	17090	11147
20170107	5462	10335
20170108	4249	9574
20170109	15753	10260
20170110	7455	9980
20170111	11746	10140
20170112	12194	10312
20170113	16568	10793
20170114	2798	10222
20170115	5624	9915
20170116	5846	9661
20170117	14429	9941
20170118	11316	10018
20170119	13949	10225
20170120	6986	10063
20170121	10807	10098
20170122	3729	9809
20170123	11549	9884
20170124	15437	10116
20170125	10720	10140
20170126	11951	10210
20170127	5999	10054
20170128	3138	9807
20170129	7701	9734
20170130	12753	9835
20170131	12966	9936
20170201	12873	10027
20170202	13707	10139
20170203	12161	10198
20170204	11562	10237
20170205	8436	10187
20170206	7716	10121
20170207	13681	10214
20170208	9278	10190
20170209	9224	10166
20170210	8188	10118
20170211	16743	10276
20170212	3514	10118
20170213	11589	10152
20170214	12339	10200
20170215	10978	10217
20170216	8280	10176
20170217	4211	10052
20170218	8807	10026
20170219	3973	9905
20170220	805	9727
20170221	8435	9702
20170222	7943	9669
20170223	11081	9695
20170224	15539	9801
20170225	6284	9738
20170226	3600	9631
20170227	13941	9705
20170228	12568	9754
20170301	15353	9847
20170302	14785	9928
20170303	11859	9959
20170304	3378	9855
20170305	3075	9749
20170306	8579	9731
20170307	5789	9671
20170308	11703	9701
20170309	17149	9811
20170310	17303	9919
20170311	10125	9922
20170312	5706	9863
20170313	6451	9816
20170314	9729	9814
20170315	10857	9828
20170316	9931	9830
20170317	18928	9949
20170318	9084	9938
20170319	5870	9886
20170320	9598	9882
20170321	11920	9908
20170322	12643	9942
20170323	11279	9958
20170324	8524	9941
20170325	3320	9862
20170326	3402	9786
20170327	10694	9796
20170328	9231	9790
20170329	9880	9791
20170330	9608	9789
20170331	8651	9776
20170401	6675	9742
20170402	8316	9727
20170403	8713	9716
20170404	13247	9753
20170405	15584	9815
20170406	6758	9783
20170407	16658	9854
20170408	8425	9839
20170409	3816	9778
20170410	8965	9770
20170411	12793	9800
20170412	9257	9795
20170413	8653	9784
20170414	10143	9787
20170415	6639	9757
20170416	2504	9689
20170417	24063	9823
20170418	11570	9839
20170419	4979	9795
20170420	27621	9957
20170421	21916	10065
20170422	18551	10140
20170423	15646	10189
20170424	24943	10318
20170425	20708	10409
20170426	20228	10493
20170427	15897	10540
20170428	21186	10630
20170429	23316	10736
20170430	3628	10677
20170501	15971	10721
20170502	10654	10720
20170503	12371	10734
20170504	9903	10727
20170505	7370	10700
20170506	3767	10645
20170507	2648	10582
20170508	12663	10599
20170509	9421	10589
20170510	7875	10569
20170511	10755	10570
20170512	11528	10577
20170513	6216	10544
20170514	2976	10488
20170515	17134	10537
20170516	8840	10525
20170517	12677	10540
20170518	8325	10524
20170519	9453	10517
20170520	4115	10471
20170521	7056	10447
20170522	6392	10418
20170523	10489	10419
20170524	12662	10434
20170525	7591	10415
20170526	13524	10436
20170527	6631	10410
20170528	4504	10370
20170529	4384	10330
20170530	7551	10311
20170531	10509	10313
20170601	8392	10300
20170602	12549	10315
20170603	2101	10261
20170604	4364	10223
20170605	13371	10244
20170606	9691	10240
20170607	12133	10252
20170608	3366	10209
20170609	8314	10197
20170610	15973	10233
20170611	5380	10203
20170612	7253	10185
20170613	10946	10189
20170614	8639	10180
20170615	12368	10193
20170616	7014	10174
20170617	6814	10154
20170618	6241	10131
20170619	13148	10149
20170620	7094	10131
20170621	15300	10161
20170622	9405	10156
20170623	9397	10152
20170624	4032	10117
20170625	7114	10100
20170626	11271	10107
20170627	11998	10117
20170628	10643	10120
20170629	7148	10104
20170630	9197	10099
20170701	5351	10073
20170702	4426	10042
20170703	2461	10001
20170704	4570	9971
20170705	9143	9967
20170706	9320	9963
20170707	14792	9989
20170708	4591	9960
20170709	5185	9935
20170710	19685	9986
20170711	12987	10002
20170712	14049	10023
20170713	11470	10030
20170714	13091	10046
20170715	6631	10029
20170716	5199	10004
20170717	12952	10019
20170718	17052	10054
20170719	15859	10083
20170720	13860	10102
20170721	15135	10127
20170722	3582	10095
20170723	3717	10064
20170724	6745	10047
20170725	7321	10034
20170726	5209	10011
20170727	5769	9991
20170728	4893	9966
20170729	10741	9970
20170730	9762	9969
20170731	20762	10020
20170801	4596	9994
20170802	5216	9972
20170803	13773	9990
20170804	6559	9974
20170805	14620	9995
20170806	2369	9960
20170807	8365	9953
20170808	9248	9950
20170809	13656	9966
20170810	9806	9966
20170811	12235	9976
20170812	8790	9971
20170813	5164	9949
20170814	12584	9961
20170815	13332	9976
20170816	7862	9966
20170817	13531	9982
20170818	10876	9986
20170819	3303	9957
20170820	4955	9935
20170821	6980	9923
20170822	2796	9892
20170823	9162	9889
20170824	11211	9895
20170825	11997	9904
20170826	5410	9885
20170827	3986	9860
20170828	6297	9845
20170829	13172	9859
20170830	11972	9868
20170831	13318	9882
20170901	15432	9905
20170902	8352	9898
20170903	8500	9893
20170904	17761	9925
20170905	10845	9928
20170906	19357	9966
20170907	20045	10006
20170908	16029	10030
20170909	7581	10021
20170910	4168	9998
20170911	15134	10018
20170912	13105	10030
20170913	17386	10059
20170914	5900	10042
20170915	9082	10039
20170916	5270	10020
20170917	8068	10013
20170918	8492	10007
20170919	9718	10006
20170920	16105	10029
