date	Average
20170101	10365
20170102	10304
20170103	7370
20170104	9285
20170105	9958
20170106	11147
20170107	10335
20170108	9574
20170109	10260
20170110	9980
20170111	10140
20170112	10312
20170113	10793
20170114	10222
20170115	9915
20170116	9661
20170117	9941
20170118	10018
20170119	10225
20170120	10063
20170121	10098
20170122	9809
20170123	9884
20170124	10116
20170125	10140
20170126	10210
20170127	10054
20170128	9807
20170129	9734
20170130	9835
20170131	9936
20170201	10027
20170202	10139
20170203	10198
20170204	10237
20170205	10187
20170206	10121
20170207	10214
20170208	10190
20170209	10166
20170210	10118
20170211	10276
20170212	10118
20170213	10152
20170214	10200
20170215	10217
20170216	10176
20170217	10052
20170218	10026
20170219	9905
20170220	9727
20170221	9702
20170222	9669
20170223	9695
20170224	9801
20170225	9738
20170226	9631
20170227	9705
20170228	9754
20170301	9847
20170302	9928
20170303	9959
20170304	9855
20170305	9749
20170306	9731
20170307	9671
20170308	9701
20170309	9811
20170310	9919
20170311	9922
20170312	9863
20170313	9816
20170314	9814
20170315	9828
20170316	9830
20170317	9949
20170318	9938
20170319	9886
20170320	9882
20170321	9908
20170322	9942
20170323	9958
20170324	9941
20170325	9862
20170326	9786
20170327	9796
20170328	9790
20170329	9791
20170330	9789
20170331	9776
20170401	9742
20170402	9727
20170403	9716
20170404	9753
20170405	9815
20170406	9783
20170407	9854
20170408	9839
20170409	9778
20170410	9770
20170411	9800
20170412	9795
20170413	9784
20170414	9787
20170415	9757
20170416	9689
20170417	9823
20170418	9839
20170419	9795
20170420	9957
20170421	10065
20170422	10140
20170423	10189
20170424	10318
20170425	10409
20170426	10493
20170427	10540
20170428	10630
20170429	10736
20170430	10677
20170501	10721
20170502	10720
20170503	10734
20170504	10727
20170505	10700
20170506	10645
20170507	10582
20170508	10599
20170509	10589
20170510	10569
20170511	10570
20170512	10577
20170513	10544
20170514	10488
20170515	10537
20170516	10525
20170517	10540
20170518	10524
20170519	10517
20170520	10471
20170521	10447
20170522	10418
20170523	10419
20170524	10434
20170525	10415
20170526	10436
20170527	10410
20170528	10370
20170529	10330
20170530	10311
20170531	10313
20170601	10300
20170602	10315
20170603	10261
20170604	10223
20170605	10244
20170606	10240
20170607	10252
20170608	10209
20170609	10197
20170610	10233
20170611	10203
20170612	10185
20170613	10189
20170614	10180
20170615	10193
20170616	10174
20170617	10154
20170618	10131
20170619	10149
20170620	10131
20170621	10161
20170622	10156
20170623	10152
20170624	10117
20170625	10100
20170626	10107
20170627	10117
20170628	10120
20170629	10104
20170630	10099
20170701	10073
20170702	10042
20170703	10001
20170704	9971
20170705	9967
20170706	9963
20170707	9989
20170708	9960
20170709	9935
20170710	9986
20170711	10002
20170712	10023
20170713	10030
20170714	10046
20170715	10029
20170716	10004
20170717	10019
20170718	10054
20170719	10083
20170720	10102
20170721	10127
20170722	10095
20170723	10064
20170724	10047
20170725	10034
20170726	10011
20170727	9991
20170728	9966
20170729	9970
20170730	9969
20170731	10020
20170801	9994
20170802	9972
20170803	9990
20170804	9974
20170805	9995
20170806	9960
20170807	9953
20170808	9950
20170809	9966
20170810	9966
20170811	9976
20170812	9971
20170813	9949
20170814	9961
20170815	9976
20170816	9966
20170817	9982
20170818	9986
20170819	9957
20170820	9935
20170821	9923
20170822	9892
20170823	9889
20170824	9895
20170825	9904
20170826	9885
20170827	9860
20170828	9845
20170829	9859
20170830	9868
20170831	9882
20170901	9905
20170902	9898
20170903	9893
20170904	9925
20170905	9928
20170906	9966
20170907	10006
20170908	10030
20170909	10021
20170910	9998
20170911	10018
20170912	10030
20170913	10059
20170914	10042
20170915	10039
20170916	10020
20170917	10013
20170918	10007
20170919	10006
20170920	10029
20170921	10060
20170922	10058
20170923	10033
20170924	10022
20170925	10001
20170926	9989
20170927	9995
20170928	9985
20170929	9987
20170930	10008
20171001	10017
20171002	10025
20171003	10036
20171004	10050
20171005	10062
20171006	10089
20171007	10101
20171008	10090
20171009	10092
20171010	10093
20171011	10102
20171012	10120
20171013	10113
20171014	10115
20171015	10097
20171016	10097
20171017	10100
20171018	10116
20171019	10112
20171020	10113
20171021	10106
20171022	10084
20171023	10090
20171024	10083
20171025	10088
20171026	10110
20171027	10108
20171028	10103
20171029	10082
20171030	10085
20171031	10090
20171101	10104
20171102	10113
20171103	10125
20171104	10135
20171105	10126
20171106	10141
20171107	10137
20171108	10144
20171109	10157
20171110	10151
20171111	10139
20171112	10143
20171113	10149
20171114	10149
20171115	10138
20171116	10147
20171117	10168
20171118	10163
20171119	10148
20171120	10158
20171121	10179
20171122	10195
20171123	10191
20171124	10190
20171125	10169
20171126	10147
20171127	10149
20171128	10156
20171129	10165
20171130	10173
20171201	10165
20171202	10150
20171203	10136
20171204	10130
20171205	10131
20171206	10146
20171207	10133
20171208	10131
20171209	10119
20171210	10103
20171211	10108
20171212	10107
20171213	10091
20171214	10087
20171215	10079
20171216	10063
20171217	10043
20171218	10057
20171219	10059
20171220	10089
20171221	10076
20171222	10076
20171223	10068
20171224	10062
20171225	10047
20171226	10036
20171227	10053
20171228	10054
20171229	10073
20171230	10051
20171231	10033
